date,ticker,shares,entry_price,exit_price,entry_session,entry_type,exit_session,catalyst,sector,pnl_pct,pnl_dollar,exit_reason
2026-07-15,NTSK,4.446044,14.17,13.88,3:15PM,scanner,12PM,sector_momentum,tech,-2.05,-1.29,discretionary
2026-07-15,OKTA,0.499222,154.24,151.00,12PM,scanner,3:15PM,analyst_upgrade,tech,-2.10,-1.62,discretionary
2026-07-16,GS,0.064601,1130.01,1116.56,10AM,scanner,10AM,earnings_beat,financials,-1.19,-0.87,discretionary
2026-07-16,BLK,0.068552,1094.06,1083.78,10AM,scanner,3:15PM,earnings_beat,financials,-0.94,-0.71,discretionary
2026-07-17,CTAS,0.488943,203.50,202.76,10AM,scanner,3:15PM,earnings_beat,industrial,-0.36,-0.36,discretionary
2026-07-20,RHI,2.104745,40.29,41.745,10AM,scanner,3:15PM,sector_momentum,industrial,3.61,3.06,discretionary
2026-07-21,ABT,0.872034,98.62,100.8401,10AM,scanner,12PM,earnings_beat,healthcare,2.25,1.94,stop_loss
2026-07-21,NBIS,0.409230,202.82,211.73,10AM,scanner,3:15PM,other,tech,4.39,3.65,stop_loss
2026-07-22,SMCI,2.887642,31.8599,30.812,12PM,scanner,2PM,other,tech,-3.29,-3.03,stop_loss
2026-07-22,GM,1.321866,78.677,81.4501,10AM,scanner,3:15PM,earnings_beat,consumer,3.52,3.67,stop_loss
2026-07-22,WDC,0.110219,544.37,557.80,3:15PM,scanner,3:15PM,analyst_upgrade,tech,2.47,1.48,discretionary
2026-07-24,ALLE,0.520000,157.79,154.86,12PM,scanner,10AM,earnings_beat,industrial,-1.86,-1.52,stop_loss
2026-07-27,BKR,1.402549,62.03,60.585,10AM,catalyst_watch,3:15PM,earnings_beat,energy,-2.33,-2.027,discretionary
2026-07-28,SLB,1.452,51.65,50.245,10AM,catalyst_watch,user_manual,earnings_beat,energy,-2.72,-2.04,user_manual
2026-07-30,CRM,0.365839,174.94,177.29,3:15PM,scanner,10AM,other,tech,1.34,0.86,stop_loss
2026-07-30,KO,1.785898,90.32,87.77,3:15PM,catalyst_watch,10AM,earnings_beat,consumer,-2.82,-4.55,stop_loss
2026-07-30,MMM,0.474448,174.94,174.81,10AM,scanner,12PM,earnings_beat,industrial,-0.07,-0.06,stop_loss
2026-07-30,MA,0.365089,576.2418,572.38,10AM,catalyst_watch,12PM,earnings_beat,financials,-0.67,-1.41,stop_loss
2026-07-30,AAPL,0.588580,330.27,333.50,10AM,scanner,3:15PM,analyst_upgrade,tech,0.98,1.90,discretionary
2026-07-31,GGLL,0.703828,106.56,108.6478,12PM,manual,user_manual,earnings_beat,tech,1.96,1.47,user_manual
2026-08-03,AMZN,1.447125,270.19,284.9062,10AM,manual,9:30AM,earnings_beat,tech,5.45,21.30,take_profit
2026-08-03,SONY,6.452334,23.25,22.6526,10AM,manual,12PM,other,tech,-2.57,-3.85,discretionary
2026-08-03,PLTR,1.000000,122.62,143.6499,10AM,manual,3:15PM,earnings_beat,tech,17.14,21.03,take_profit
2026-08-04,PLTR,0.223341,122.59,157.98,3:15PM,manual,10AM,earnings_beat,tech,28.87,7.90,take_profit
2026-08-04,AMD,0.392426,509.65,522.50,10AM,manual,12PM,other,tech,2.52,5.05,discretionary
2026-08-04,AMD,0.286538,523.49,472.10,12PM,manual,user_manual,earnings_beat,tech,-9.82,-14.73,user_manual
2026-08-05,QCOM,0.469454,159.76,157.78,10AM,scanner,12PM,sector_momentum,tech,-1.24,-0.93,stop_loss
2026-08-05,AMAT,0.136836,548.10,540.58,10AM,scanner,12PM,sector_momentum,tech,-1.37,-1.03,stop_loss
2026-08-06,HON,0.243604,245.48,245.0201,10AM,scanner,10AM,earnings_beat,industrial,-0.19,-0.11,stop_loss
2026-08-06,MU,0.083577,897.38,901.3598,10AM,scanner,10AM,sector_momentum,tech,0.44,0.33,stop_loss
2026-08-06,PAYC,0.351085,213.6233,211.9901,10AM,scanner,3:15PM,earnings_beat,tech,-0.76,-0.57,stop_loss
